"","force"
"1",-13765.71
"2",-13986.65
"3",-13585.83
"4",-13916.25
"5",-14538.75
"6",-14798.73
"7",-13711.65
"8",-13951.02
"9",-14474.8
"10",-14575.57
"11",-13961.39
"12",-14617.1
"13",-13698.41
"14",-14123.05
"15",-14210.46
"16",-13919.94
"17",-13745.52
"18",-13854.38
"19",-14426.63
"20",-14885.32
"21",-14161.84
"22",-14300.52
"23",-14339.83
"24",-14182.2
"25",-14775.75
"26",-13945.25
"27",-14259.89
"28",-14832.27
"29",-13794.14
"30",-14629.08
"31",-14690.51
"32",-13996.27
"33",-14810.11
"34",-14602.69
"35",-13695.64
"36",-14802.52
"37",-13607.21
"38",-14706.51
"39",-13988.48
"40",-13514.75
"41",-13936.49
"42",-13594.06
"43",-14741.84
"44",-13701.67
"45",-14436.04
"46",-14409.28
"47",-13878.48
"48",-14457.34
"49",-14878.32
"50",-14331.98
"51",-14061.42
"52",-13508.95
"53",-14393.87
"54",-14558.9
"55",-14258.01
"56",-13953.51
"57",-13623.06
"58",-14163.57
"59",-13700.18
"60",-14763.52
"61",-14872.44
"62",-13915.37
"63",-13742.51
"64",-14618.43
"65",-13877.36
"66",-14219.75
"67",-14527.47
"68",-14573.83
"69",-13709.49
"70",-14702.75
"71",-14716.73
"72",-14238.43
"73",-14451.62
"74",-13776.41
"75",-13820.49
