"","force"
"1",74503.18
"2",80702.9
"3",81308.89
"4",77876.52
"5",76324.93
"6",80239.88
"7",75012.54
"8",80735.09
"9",77827.12
"10",79120.48
"11",78191.8
"12",80132.95
"13",77143.73
"14",81720.82
"15",81857.06
"16",77986.85
"17",81874.21
"18",81040.31
"19",74759.09
"20",76751.82
"21",78470.87
"22",75754.98
"23",75533.65
"24",75859.15
"25",80425.43
"26",79086.41
"27",80732.85
"28",79379.61
"29",75293.01
"30",76571.58
"31",76911.98
"32",76880.97
"33",75982.03
"34",79763.73
"35",79607.41
"36",78236.67
"37",79046.92
"38",82005.6
"39",74837.88
"40",81462.68
"41",78903.38
"42",74600.79
"43",77805.43
"44",75533.23
"45",74277.08
"46",81581.44
"47",75247.84
"48",78525.2
"49",77040.64
"50",81767.92
"51",81448.66
"52",78118.79
"53",80413.21
"54",81753.41
"55",79836.33
"56",76289.05
