"","force"
"1",11253.1
"2",10825.67
"3",10901.54
"4",11246.26
"5",10517.6
"6",10907.58
"7",10732.61
"8",11266.01
"9",10608.16
"10",11380.11
"11",11164.09
"12",11471.74
"13",11028.77
"14",10786.59
"15",11361.08
"16",11020.55
"17",10517.37
"18",11079.07
"19",10913.16
"20",10637.86
"21",10505.6
"22",10604.01
"23",11388.86
"24",10842.52
"25",11033.35
"26",10938.98
"27",11195.86
"28",11004.91
"29",11271.5
"30",10407.73
"31",10674.79
"32",10627.7
"33",10558.66
"34",10807.67
"35",10581.6
"36",11126.26
"37",10741.33
"38",11370.5
"39",11395.71
"40",10474.14
"41",10805.75
"42",11381.92
"43",10446.7
"44",10892.27
"45",11272.61
"46",11089.6
"47",11366.75
"48",11346.99
"49",11160.98
"50",11160.77
"51",10561.03
"52",11061.23
"53",10980.36
"54",11069.62
"55",11246.43
"56",11323.38
"57",10607.31
"58",11077.87
"59",10836.67
"60",10425.7
"61",10921.6
"62",11116.52
"63",11308.04
"64",10542.45
"65",11194.69
"66",10830.14
"67",10578.64
"68",11351.83
"69",11446.45
"70",10980.16
"71",11082.11
"72",10782.94
"73",11158.28
"74",10995.34
"75",10888.35
"76",10939.18
"77",10879.02
"78",11497.76
"79",11029.58
"80",11367.56
"81",11361.74
"82",10787.75
"83",10929.18
"84",10742.53
"85",10941.95
"86",10831.32
"87",10770.09
"88",10747.52
