"","force"
"1",-15391.59
"2",-15100.66
"3",-14883.86
"4",-14923.88
"5",-15317.8
"6",-15833.17
"7",-14775.75
"8",-14971.36
"9",-15371.05
"10",-15651
"11",-16172.21
"12",-15506.38
"13",-15128.42
"14",-15631.74
"15",-16118.72
"16",-16138.34
"17",-16223.54
"18",-16030.9
"19",-15288.39
"20",-15572.3
"21",-15327.72
"22",-15233.37
"23",-14764.43
"24",-16098.37
"25",-15808.33
"26",-16161.73
"27",-15966.84
"28",-15426.54
"29",-15015.57
"30",-15703.23
"31",-15718.48
"32",-16028.3
"33",-14939.91
"34",-15382.53
"35",-15524.93
