"","force"
"1",144250.57
"2",142623.52
"3",139793.94
"4",139788.35
"5",144957.38
"6",136367.06
"7",147269.74
"8",137175.01
"9",146556.91
"10",140936.15
"11",138784.65
"12",144244.75
"13",145257.65
"14",134502.97
"15",138251.51
"16",138646.19
"17",146606.24
"18",146000.29
"19",135855.4
"20",148102.81
"21",146965.79
"22",143815.13
"23",148201.73
"24",138973.23
"25",137853.12
"26",142233.31
"27",141747.85
"28",135116.52
"29",135492.48
"30",137370.29
"31",137488.13
"32",140827.87
"33",141428.12
"34",136225.44
"35",135841.43
"36",146175.71
"37",139072.83
"38",140103.43
"39",146591.86
"40",134185.94
"41",138099.09
"42",146919.39
"43",141863.19
"44",136875.18
"45",138164.35
