"","force"
"1",20319.2
"2",20937.03
"3",21063.59
"4",19198.2
"5",20783.1
"6",21066.06
"7",21034.84
"8",19965.82
"9",19214.29
"10",20924.28
"11",20143.06
"12",21063.22
"13",20995.84
"14",20943.67
"15",20972.63
"16",19394.75
"17",20904.1
"18",20743.48
"19",19505.7
"20",19539.83
"21",20829.32
"22",19709.69
"23",20986.96
"24",19594.45
"25",19985.7
"26",20206.89
"27",20405.58
"28",19501.27
"29",20636.71
"30",20990.87
"31",19862.92
"32",19993.98
"33",20252.11
"34",20003.24
"35",19825.79
"36",19763.67
"37",20073.69
"38",21058.01
"39",19914.87
"40",20577.13
"41",20467.91
"42",20879.21
"43",20741.12
"44",21141.67
"45",19595.34
"46",19916.97
"47",19931.52
"48",20506.52
"49",19575.01
"50",21025.29
"51",20653.84
"52",21110.45
"53",20103.94
"54",20481.65
"55",20026.27
"56",20545.76
"57",20237.69
"58",20250.75
"59",20526.38
"60",20804.28
"61",20731.23
"62",19924.37
"63",21206.92
"64",19463.6
"65",20845.67
"66",20810.43
"67",20646.14
"68",20478.22
"69",20987.34
"70",19519.38
"71",20898.36
"72",21088.99
"73",20399.12
"74",19324.19
"75",19799.81
"76",21196.69
"77",19576.1
"78",20937.87
"79",20394.43
"80",19980.1
"81",19773.55
"82",19275.33
"83",19883.06
"84",20954.27
"85",19461.01
"86",20627.11
"87",19757.29
"88",20248.07
