"","force"
"1",36382.1
"2",34531.47
"3",35585.25
"4",34905.8
"5",35368.97
"6",36577.23
"7",37008.26
"8",37147.39
"9",35661.17
"10",36883.17
"11",35931.87
"12",35393.03
"13",34271.27
"14",35751.62
"15",34642.11
"16",34823.56
"17",36583.34
"18",34151.46
"19",36962.1
"20",36784.16
"21",36718.26
"22",37592.45
"23",34328.61
"24",36949.41
"25",35189.51
"26",37145.38
"27",36206.77
"28",35624.34
"29",34687.8
"30",36441.95
"31",34393.73
"32",36166.73
"33",36743.59
"34",37304.26
"35",37320.69
"36",35466.61
"37",35532.2
"38",37406.81
"39",37016.43
"40",37072.77
"41",37507.88
"42",34134.13
"43",34906.59
"44",36828.5
"45",34553.57
"46",37498.66
"47",34170.4
"48",37509.25
"49",35053.95
"50",35190.82
"51",36600.18
"52",37523.01
"53",37222.89
