"","force"
"1",30432.44
"2",32918.33
"3",30433.99
"4",32682.36
"5",32644.19
"6",32319.51
"7",30785.16
"8",32459.87
"9",32682.63
"10",31781.67
"11",32802.3
"12",30704.71
"13",32444.66
"14",33480.16
"15",30856.27
"16",30817.62
"17",31846.02
"18",32328.98
"19",32341.74
"20",31518.34
"21",30734.45
"22",32046.41
"23",32906.13
"24",32717.45
"25",33511.37
"26",30834.72
"27",32129.54
"28",31861.47
"29",33499.84
"30",30825.99
"31",31380.26
"32",31466.1
"33",31071.24
"34",33166.37
"35",31736.79
"36",33308.68
"37",32695.2
"38",31923.56
"39",33459.31
"40",33255.9
"41",30430.84
