"","force"
"1",14668.93
"2",15521.2
"3",15622.26
"4",14830.2
"5",14938.62
"6",16017.59
"7",15975
"8",14631.93
"9",15664.02
"10",16111.86
"11",15163.68
"12",15257.08
"13",15595.36
"14",15553.23
"15",15068.6
"16",14694.86
"17",15424.82
"18",15023.43
"19",15224.79
"20",15904.86
"21",14738.21
"22",15687.82
"23",14682.9
"24",15073.82
"25",15399.13
"26",15803.4
"27",14651.22
"28",14697.44
"29",15719.97
"30",15758
"31",15010.77
"32",14676.95
"33",14803.1
"34",16008.8
"35",15216.05
"36",15560.15
"37",15161.64
"38",15041.01
"39",15556.88
"40",14715.4
"41",14728.41
"42",15338.12
"43",15031.63
"44",14836.82
"45",15335.66
"46",15883.22
"47",15817.21
"48",14907.61
"49",14725.47
"50",16153.93
"51",16131.92
"52",15470.98
"53",16156.7
"54",14840.85
"55",14868.77
"56",14841.72
"57",14757.02
"58",15309.31
"59",15249.52
"60",14952.96
"61",14711.82
"62",15980.38
"63",15048.97
"64",16154.52
"65",15966.83
"66",16004.74
"67",15935.01
"68",14937.76
"69",15622.26
"70",15949.56
"71",15442.84
"72",15243.86
"73",15799.41
"74",15469.23
"75",15166.49
"76",14936.25
"77",15420.77
"78",14773.62
"79",15548.94
"80",15940.08
"81",14666.36
"82",16076.36
"83",15228.46
"84",16147.24
"85",15166.82
"86",14830.78
"87",14647.69
