"","force"
"1",68400.43
"2",67536.43
"3",68575.98
"4",74017.6
"5",71995.82
"6",73199.37
"7",70827.14
"8",67176.8
"9",70147.56
"10",73806.68
"11",67561.08
"12",73781.82
"13",70060.52
"14",67678.33
"15",73948.73
"16",74038.57
"17",70511.84
"18",67430.01
"19",69020.03
"20",69991.69
"21",67458.8
"22",68759.01
"23",68171.5
"24",68670.39
"25",73734.43
"26",72163.77
"27",72734.26
"28",73363.23
"29",72916.92
"30",71738.05
"31",71202.09
"32",69911.76
"33",68377.35
"34",72905.91
"35",73413.5
"36",72934.52
"37",70825.34
"38",72762.77
"39",68945.05
"40",73056.03
