"","force"
"1",15056.62
"2",15222.27
"3",15202.49
"4",15882.35
"5",15314.55
"6",16139.98
"7",15521.5
"8",15252.28
"9",15642.58
"10",15676.2
"11",15109.6
"12",16377.07
"13",16137.47
"14",15714.06
"15",16163.71
"16",15112.67
"17",16480.21
"18",16232.43
"19",15696.01
"20",15823.54
"21",15770.91
"22",15759.02
"23",15265.7
"24",15995.26
"25",15019.23
"26",16102.73
"27",16420.58
"28",16086.9
"29",15558.62
"30",15566.42
"31",15129.31
"32",15820.24
"33",16547.91
"34",15675.81
"35",15995.44
"36",16174.88
"37",15910.31
"38",15917.42
"39",16507.16
"40",15477.37
"41",16232.19
"42",15631.34
"43",15065.76
"44",15836.69
"45",16331.58
"46",16436.25
"47",16000.22
