"","force"
"1",258786.37
"2",259077.75
"3",256930.9
"4",270006.79
"5",250636.55
"6",248652.16
"7",267599.32
"8",263012.64
"9",266653.02
"10",260487.42
"11",255936.4
"12",249404.39
"13",267580.03
"14",264839.72
"15",255987.61
"16",261112.72
"17",263687.3
"18",253969.68
"19",261152.51
"20",267540.84
"21",261957.79
"22",262997.62
"23",267242.14
"24",258905.15
"25",247930.51
"26",248437.04
"27",255348.08
"28",250754.57
"29",265192.9
"30",248703.8
"31",253909.3
"32",269447.36
"33",248488.4
"34",246697.57
"35",255279.86
"36",258460.07
"37",262833.45
"38",264243.01
