"","force"
"1",62132.05
"2",62612.54
"3",63052.51
"4",67263.87
"5",64919.32
"6",62206.38
"7",61822.13
"8",63039.56
"9",63175.84
"10",63688.04
"11",61367.19
"12",61375.06
"13",65392.88
"14",61803.63
"15",63926.28
"16",61771.47
"17",64182.61
"18",65262.96
"19",62189.13
"20",62477.59
"21",67082.92
"22",62769.51
"23",62874.69
"24",62214
"25",66051.78
"26",63761.65
"27",64885.08
"28",65997.08
"29",63361.14
"30",64503.08
"31",65553.44
"32",65045.75
"33",63086.11
"34",66565.08
"35",62146.88
"36",66771.05
"37",62620.13
"38",62422.2
