"","force"
"1",152485.89
"2",147878.71
"3",153263.01
"4",146640.5
"5",140734
"6",141323.95
"7",141806.83
"8",143490.85
"9",145781.61
"10",140790.59
"11",142571.88
"12",143384.83
"13",141348.53
"14",146810.55
"15",141704.1
"16",153197.85
"17",144550.83
"18",149753.26
"19",142186.23
"20",145296.18
"21",153489.56
"22",141184.78
"23",143120.58
"24",140763.37
"25",152011.21
"26",140966.92
"27",150526.22
"28",149113.84
"29",149101.76
"30",142282.4
"31",151464.65
"32",141980.21
"33",148939.86
"34",154174.25
"35",144510.07
"36",141893.89
"37",149324.94
"38",150233.86
"39",148192.06
"40",145006.39
"41",142624.48
"42",149970.59
"43",150280.5
"44",141200.11
"45",141967.27
"46",154867.21
"47",146932.72
"48",145940.56
"49",152176.62
"50",146633.52
"51",146983.62
"52",154088.82
"53",146172.26
"54",151478.04
"55",149536.17
"56",149784.94
"57",147481.95
"58",144035.33
"59",140355.6
"60",150733.89
"61",146049.84
"62",143510.24
"63",141031.37
"64",154541.3
"65",148009.31
"66",140302.14
"67",152429.36
"68",146884.82
"69",145039.42
"70",150988.38
"71",144835.59
"72",141110.54
"73",150356.27
"74",148009.23
"75",144359.31
"76",150136.44
"77",140461.15
"78",143408.66
"79",140293.79
"80",147958.8
"81",149042.69
"82",148440.52
"83",141746.59
