"","force"
"1",33698.9
"2",33771.07
"3",34958.22
"4",35745.24
"5",33990.65
"6",35279.18
"7",32925.96
"8",34639.04
"9",34237.5
"10",34154.22
"11",35872.95
"12",33987.06
"13",35233.95
"14",33210.2
"15",33391.1
"16",34397.91
"17",35412.65
"18",34003.31
"19",35944.56
"20",34822.68
"21",35323.02
"22",33018.22
"23",35836.96
"24",34483.34
"25",35380.89
"26",34997.71
"27",35521.97
"28",33664.94
"29",34247.7
"30",33971.83
"31",35267.6
"32",33323.76
"33",34450.31
"34",33380.24
"35",32743.16
"36",32928.68
"37",34000.73
"38",35442.08
"39",35535.54
"40",34168.16
"41",33644.16
"42",34895.01
"43",33074.13
"44",34692.66
"45",32757.72
"46",33079.93
"47",33698.16
"48",34788.09
"49",34549.5
"50",34421.07
"51",34562.46
"52",33979.15
"53",35268.18
"54",34209.63
"55",32591.89
"56",32909.18
"57",32821.66
"58",32980.95
"59",34575.74
"60",33831.58
"61",33632.3
"62",32607.95
"63",33914.13
"64",32796.56
"65",34656.81
"66",34810.74
"67",35886.33
"68",35249.92
"69",34574.86
"70",35304.08
"71",35743.22
"72",34210.08
"73",32862.61
"74",35273.96
"75",34338.77
"76",34083.94
"77",34695.75
"78",34944.61
"79",34053.7
"80",33533.14
"81",35436.65
"82",34008.79
"83",33693.01
"84",34559.94
"85",33477.95
"86",35872.92
"87",35041.94
"88",34862.89
"89",32655.4
"90",33222.65
"91",35654.55
"92",35568.02
"93",35645.74
"94",35669.42
"95",32762.83
"96",33228.17
"97",33512.12
"98",33037.67
"99",34684.9
"100",33505.28
