"","force"
"1",66963.18
"2",68733.02
"3",69136.8
"4",70240.17
"5",64763.93
"6",65858.6
"7",70650.45
"8",69962.15
"9",66187.14
"10",68599.86
"11",71216.05
"12",70181.52
"13",65902.99
"14",66544.6
"15",67911.74
"16",69511.23
"17",66001.17
"18",64707.23
"19",65451.77
"20",65856.55
"21",68728.88
"22",69526.45
"23",70860.87
"24",69182.19
"25",71028.88
"26",65828.34
"27",67123.61
"28",66110.67
"29",68486.15
"30",66075.03
"31",68183.35
"32",69160.01
"33",66849.81
"34",66442.3
"35",65520.83
"36",69860.3
