"","force"
"1",525130.02
"2",495723.31
"3",525431.4
"4",492664.08
"5",526314.87
"6",511684.92
"7",521639.12
"8",512357.41
"9",493198.11
"10",482752.86
"11",516335
"12",526360
"13",477180.55
"14",508699.43
"15",522479.84
"16",504546.65
"17",510179.88
"18",488028.04
"19",507329.73
"20",516382.34
"21",515599.31
"22",486609.74
"23",504832.39
"24",516553.87
"25",500149
"26",507139.16
"27",497256.51
"28",495471.36
"29",484434.85
"30",508865.62
"31",497862.49
"32",482190.75
"33",513485.05
"34",496736.33
"35",504960.69
"36",488773.78
"37",485843.43
"38",520838.81
"39",490552.42
"40",507662.53
"41",499668.3
"42",501921.18
"43",515290.73
"44",497040.51
"45",514790.94
"46",512721.47
"47",507257.36
"48",524831.31
"49",507904.77
"50",504179.32
"51",485671.13
"52",521094.74
"53",522615.52
"54",488776.05
"55",516671.62
"56",489045.31
"57",513871.4
"58",501783.16
"59",510980.37
"60",482516.12
"61",481228.19
"62",489647
"63",484990.32
"64",509765.72
"65",487466
"66",517374.44
"67",515148.73
"68",501324.6
"69",507990.09
"70",488859.34
