"","force"
"1",85898.65
"2",90610.59
"3",89862.21
"4",91917.87
"5",88714.99
"6",87052.62
"7",84828.26
"8",88635.31
"9",84002.04
"10",86605.83
"11",88478.46
"12",91120.22
"13",87076.83
"14",83742.42
"15",83655.76
"16",88935.23
"17",87218.83
"18",91861.79
"19",87275.13
"20",91731.28
"21",91153.06
"22",83703.7
"23",84366.72
"24",83973.72
"25",91112.43
"26",85373.14
"27",89756.61
"28",91320.15
"29",88103.42
"30",86491.62
"31",88844.65
"32",84149.83
"33",84629.87
"34",85056.24
"35",87201.19
"36",90562.58
"37",91839.04
"38",89451.39
"39",88216.46
