"","force"
"1",69502.54
"2",69174.7
"3",67933.66
"4",64906.7
"5",65444.31
"6",65919.41
"7",69255.92
"8",67256.98
"9",67827.7
"10",63930.76
"11",69832.16
"12",68425.44
"13",64339.68
"14",64815.45
"15",69664.68
"16",69248.57
"17",67903.75
"18",67620.88
"19",63888.88
"20",68854.79
"21",65328.43
"22",64501.72
"23",64178.41
"24",68285.62
"25",65154.95
"26",66897.89
"27",67149.04
"28",67295.84
"29",69169.6
"30",67503.46
"31",67790.09
"32",67954.43
"33",67636.9
"34",67300.69
"35",65311.73
"36",64117.2
"37",66544.11
"38",64038.98
"39",67363.06
