"","force"
"1",288426.03
"2",290413.05
"3",303244.45
"4",297750.77
"5",303102.94
"6",283965.42
"7",283336.68
"8",302499.71
"9",297183.88
"10",289721.29
"11",290737.2
"12",287888.5
"13",291338.03
"14",286208.21
"15",295795.71
"16",276642.03
"17",290666.76
"18",286219.46
"19",280831.73
"20",296646.47
"21",302419.16
"22",277189.21
"23",293836.98
"24",300141.57
"25",297866.14
"26",296498.76
"27",290412.04
"28",300169.45
"29",288923.41
"30",283746.71
"31",297531.73
"32",290098.23
"33",275088.77
"34",290102.26
"35",276848.53
"36",287875.85
"37",300924.28
"38",275240.52
"39",275459.4
"40",290775.61
"41",293991.93
"42",288000.76
"43",297929.53
"44",301911.25
"45",277479.15
"46",283304.53
"47",276146.2
"48",276294.03
"49",278001.27
"50",278509.54
"51",298111
"52",279603.37
"53",286469.61
"54",300619.34
"55",297194.23
"56",294501.21
"57",289959.02
"58",285259.96
"59",291963.67
"60",275970.01
"61",279961.95
"62",283871.12
"63",293486.09
"64",298457.96
"65",290379.82
"66",292625.94
