"","force"
"1",11264.77
"2",11272.5
"3",11853.63
"4",11697.08
"5",11912.05
"6",12052.17
"7",11662.33
"8",11718.04
"9",11737.19
"10",10960.95
"11",11667.72
"12",11697.65
"13",11308.44
"14",11890.54
"15",12035.58
"16",11365.4
"17",10995.15
"18",11901.38
"19",12024.73
"20",11836.7
"21",11107.41
"22",11126.62
"23",11985.25
"24",11506.57
"25",11243.92
"26",11752.22
"27",11514.53
"28",11559.73
"29",11077.94
"30",10974.68
"31",11315.07
"32",11842.47
"33",11396.32
"34",11374.95
"35",11376.35
"36",11024.17
"37",11498.8
"38",11007
"39",11225.04
"40",11360.85
"41",11161.98
"42",11496.91
"43",11761.98
"44",11027.51
"45",11425.08
"46",12007.79
"47",11272.3
"48",12076.89
"49",11022.16
"50",11284.12
"51",11651.94
"52",10954.5
"53",11979.84
"54",11523.71
"55",11184.73
"56",11384.57
"57",11522.01
"58",11195.14
"59",11511.04
"60",11008.59
"61",11759.37
"62",11989.96
"63",11937.93
"64",11288.7
"65",11458.99
"66",11634.59
"67",11677.4
"68",11605.59
"69",11368.92
"70",11508.83
"71",11571.09
"72",11632.43
"73",12069.18
"74",11536.97
"75",11406.32
"76",11074.46
"77",11430.78
"78",11345.27
"79",11849.68
"80",10994.17
"81",10996.3
