"","force"
"1",16414.59
"2",17082.38
"3",16730.33
"4",16303.83
"5",17834.01
"6",16558.97
"7",17411.49
"8",16839.86
"9",17765.07
"10",17657.57
"11",16255.91
"12",16923.42
"13",16379.62
"14",17048.17
"15",16547.75
"16",16530.87
"17",16619.01
"18",17798.25
"19",16474.88
"20",16734.92
"21",16207.3
"22",17635.86
"23",17883.78
"24",17882.32
"25",17744.78
"26",16673.47
"27",17099.47
"28",17083.32
"29",17138.51
"30",17123.18
"31",17325.25
"32",17662.57
"33",16905.54
"34",16382.66
"35",16313.06
"36",17381.9
"37",17492.15
"38",17052.81
"39",17756.91
"40",16876.58
"41",17056.46
"42",16866.61
"43",16479.51
"44",17134.78
