"","force"
"1",12673.05
"2",13338.69
"3",13032.09
"4",12734.14
"5",13303.15
"6",12909.25
"7",12755.68
"8",12951.75
"9",12666.73
"10",12415.73
"11",12405.8
"12",12833.6
"13",12822.01
"14",13115.03
"15",12766.36
"16",13455.79
"17",12928.8
"18",12861.79
"19",12973.67
"20",13196.34
"21",13522.12
"22",12503.13
"23",13473.25
"24",12536.68
"25",12506.09
"26",13526.37
"27",13236.9
"28",12498.71
"29",13542.3
"30",13463.81
"31",12611.39
"32",12960.74
"33",12430.97
"34",12423.79
"35",13611.06
"36",12648.78
"37",12994.38
"38",13533.32
"39",12967.61
"40",13002.82
"41",12387.13
"42",12584.05
"43",13190.11
"44",13529.02
"45",12785.67
"46",13316.43
"47",13460.57
"48",13134.24
"49",12435.27
"50",13028.64
