"","force"
"1",248587.37
"2",255301.84
"3",253920.85
"4",255175.15
"5",253546.12
"6",238307.36
"7",244247.79
"8",245472.63
"9",257290.82
"10",254282.55
"11",241825.73
"12",247299.15
"13",238639.41
"14",254797.8
"15",244641.09
"16",254393.71
"17",235311.47
"18",238700.18
"19",233874.64
"20",235801.39
"21",239838.21
"22",241563.14
"23",234850.14
"24",241559.01
"25",242903.68
"26",257306.73
"27",243648.65
"28",238086.27
"29",249237.45
"30",255805.44
"31",249311.47
"32",236925.68
"33",244258.27
"34",245914.9
"35",245760.94
"36",255442.05
"37",251358.61
"38",255687.88
"39",242890.89
"40",239352.49
"41",248552.37
"42",235479.09
"43",250989.84
"44",252761.02
"45",243998.01
"46",251069.1
"47",246488.24
"48",246250.62
"49",239373.05
"50",242434.9
"51",243136.8
"52",252842.38
"53",252660.4
"54",237242.07
"55",240597.44
"56",242428.27
"57",243840.14
"58",244897.81
"59",247840.52
"60",242665.7
"61",235205.95
"62",236860.73
"63",253019.74
