"","force"
"1",31141.73
"2",29001.83
"3",29780.45
"4",29636.88
"5",31414.39
"6",29056.71
"7",31678.75
"8",31655.56
"9",29490.43
"10",29670.81
"11",28794.26
"12",29727.31
"13",31673.09
"14",29788.32
"15",29336.12
"16",29708.12
"17",29983.33
"18",30981.89
"19",30326.66
"20",28708.82
"21",30691.85
"22",30621.12
"23",28944.31
"24",28726.41
"25",31313.72
"26",30287.09
"27",30055.54
"28",29400.51
"29",30924.9
"30",31436.16
"31",31474.91
"32",29192.17
"33",30110.35
"34",30902.69
"35",29204.76
"36",30781.02
"37",30208.83
"38",30124.05
"39",31217.23
"40",30112.75
"41",28954.79
"42",29440.15
"43",28865.59
"44",30448.31
"45",29775.93
"46",31574.5
"47",31564.2
"48",30891.49
"49",29088.82
"50",28684.81
"51",30472.8
"52",30763.44
"53",31480.21
"54",30688.36
"55",29091.89
"56",29073.29
"57",30281.76
"58",31657.41
"59",29987.55
"60",31011.31
"61",28736.34
"62",29944.64
"63",30612.21
"64",29015.81
"65",30673.87
"66",30077.15
"67",31195.75
"68",30452.98
"69",31232.23
"70",30139.95
"71",30414.45
"72",29926.97
"73",29027.39
"74",30764.08
"75",30573.91
"76",29125.95
"77",30447.44
"78",31272.67
"79",29102.01
"80",30222.04
"81",30149.37
"82",31199.82
"83",30565.36
"84",31005.37
"85",30997.72
