"","force"
"1",18785.02
"2",19476.84
"3",19302.89
"4",18897.11
"5",18136.86
"6",18951.43
"7",18257.38
"8",19532.84
"9",18476.47
"10",19233.92
"11",18348.76
"12",18210.11
"13",19620.2
"14",19383.61
"15",18244.79
"16",19684.12
"17",18703.4
"18",19725.72
"19",18589.85
"20",19589.13
"21",19319.15
"22",19801.04
"23",18863.53
"24",19532
"25",19669.11
"26",18658.55
"27",19414.03
"28",18768.3
"29",19586.33
"30",18428.54
"31",19325.34
"32",18165.1
"33",18393.81
"34",17988.39
"35",19711.71
"36",19412.55
"37",18847.2
"38",17985.34
"39",19790.4
"40",18623.31
"41",19011.82
"42",19226.23
"43",19438.46
"44",18304.88
"45",18734.48
"46",18591.01
"47",19055.07
"48",19318.72
"49",18020.3
"50",19083.65
"51",18166.01
"52",18096.46
"53",19523.74
"54",18536.25
"55",18980.61
"56",19288.96
"57",18896.47
