"","force"
"1",83687.74
"2",80622.7
"3",80360.49
"4",84099.48
"5",85208.07
"6",86017.16
"7",78757.47
"8",85303.51
"9",83843.22
"10",85459.77
"11",84175.46
"12",84166.72
"13",82803.99
"14",84373.61
"15",79765.19
"16",86191.82
"17",83851.12
"18",78531.49
"19",79891.91
"20",79648.54
"21",82239.86
"22",82348.16
"23",80885.53
"24",85992.01
"25",80457.1
"26",80270.94
"27",85067.1
"28",80845.44
"29",80457.11
"30",78351.74
"31",83888.36
"32",79938.73
"33",80379.62
"34",82099.91
"35",80557.82
"36",83394.98
"37",83661.99
"38",81283.78
"39",82278.9
"40",84577.49
"41",79492.51
"42",84559.6
"43",79548.39
"44",78587.75
"45",85803.54
"46",81204.18
"47",78747.83
"48",81347.74
"49",86141.61
"50",82267.26
