"","force"
"1",15623.84
"2",15826.09
"3",15619.27
"4",15909.94
"5",15825.08
"6",15537.91
"7",16245.22
"8",15716.57
"9",15703.2
"10",16082.56
"11",15139.87
"12",15174.18
"13",16250.03
"14",15573.77
"15",16057.02
"16",16331.12
"17",16447
"18",16446.46
"19",15506.02
"20",16203.66
"21",16140.41
"22",15710.71
"23",15616
"24",15160.69
"25",16350.22
"26",15172.52
"27",15634.32
"28",15094.01
"29",15341.25
"30",16021.46
"31",15622.16
"32",15889.29
"33",15793.16
"34",15241.96
"35",16095.42
"36",16239.13
"37",15762.45
"38",16431.62
"39",16552.43
"40",15262.1
"41",15639.14
"42",15800.9
"43",15259.91
"44",16337.84
"45",16470.89
"46",15575.15
"47",15760.58
"48",15986.93
"49",15801.06
"50",15099.41
"51",15713.17
"52",15796.05
"53",16212.99
"54",15750.19
"55",15671.54
"56",16158.19
"57",16065.66
"58",15380.02
"59",16548.27
"60",15095.11
"61",15248.38
"62",16406
"63",15838.2
"64",15596.68
"65",15097.75
"66",16000.26
"67",15102.56
"68",16377.65
"69",16231.99
"70",15988.09
"71",15313.94
"72",15968.3
"73",16365.83
"74",15723.6
"75",15980.99
"76",16122.56
"77",15573.69
"78",15563.58
"79",15330.5
"80",15560.5
"81",15766.46
"82",16301.2
"83",16272.19
"84",15126.7
"85",16372
"86",16023.67
"87",15788.21
"88",15922.13
"89",15729.14
"90",15522.82
"91",16048.08
"92",16434.15
"93",16041.75
"94",15277.05
"95",15833.72
"96",15404.9
