"","force"
"1",118483.28
"2",110108
"3",114461.08
"4",117765.05
"5",115837.99
"6",115486.33
"7",118037.35
"8",119475.09
"9",113241.82
"10",119949.41
"11",118157.88
"12",116962.43
"13",111158.06
"14",112154.42
"15",114934.9
"16",110632.02
"17",108965.59
"18",113625.54
"19",115725.09
"20",113752.71
"21",111296.44
"22",114361.71
"23",117356.24
"24",109536.65
"25",112859.23
"26",113240.07
"27",117008.44
"28",112548.33
"29",112362.65
"30",113066.38
"31",116854.19
"32",115780.65
"33",110031.58
"34",109925.31
"35",119036.86
"36",119944.24
"37",112729.27
"38",113327.97
"39",109606.88
"40",109352.27
"41",118886.42
"42",108900.62
"43",112562.33
"44",111828.11
"45",113733.54
"46",112921.48
"47",110906.18
"48",111297.94
"49",111960.89
"50",114554.68
"51",113399.97
"52",117500.77
"53",118050.95
"54",112674.7
"55",112816.12
"56",114718.66
"57",115515.82
"58",113773.67
"59",116542.94
"60",114008.13
"61",109668.71
"62",118987.78
"63",112627.76
"64",108996.9
"65",111167.16
"66",110416.46
"67",118326.07
"68",114115.67
"69",115852.11
"70",120139.59
"71",109002.79
"72",113253.78
"73",113977.53
"74",119130.35
"75",112913.7
"76",111615.99
"77",112322.84
"78",114222.54
"79",110877.75
"80",116099.85
"81",110083.55
"82",118355.14
"83",109413.72
"84",108874.98
"85",112082.65
"86",114562.93
"87",114201.67
"88",109339.95
"89",110960.82
"90",111628.57
"91",117764.04
"92",114616.9
"93",118962.31
"94",110979.94
"95",119896.94
"96",114739.97
"97",116297.07
"98",118290.27
"99",109749.26
"100",118293.56
"101",115155.89
"102",117663.92
"103",114225.56
"104",118669.67
"105",113884.69
"106",118274.47
"107",110680.27
"108",111841.51
