"","force"
"1",3852.87
"2",4081.08
"3",3837.07
"4",4123.19
"5",4114.04
"6",3958.81
"7",3952.53
"8",4096.91
"9",4071.24
"10",4009.98
"11",3810.6
"12",4072.25
"13",4035.63
"14",3784.33
"15",4117.16
"16",3741.85
"17",3955.65
"18",3813.93
"19",3849.53
"20",3870.76
"21",4105.76
"22",3907.78
"23",3806.4
"24",3905.64
"25",4017.22
"26",4073.25
"27",4060.72
"28",3894.68
"29",3853.42
"30",3982.8
"31",4013
"32",3912.38
"33",4005.51
"34",4078.74
"35",3862.6
"36",4067.69
"37",3812.68
"38",3808.88
"39",3826.8
"40",4091.8
"41",3989.62
"42",3849.64
"43",3964.84
"44",3924.34
"45",3854.64
"46",3756.98
"47",3998.01
"48",3975.11
"49",4014.03
"50",3751.19
"51",3752.89
"52",3984.21
"53",3980.86
