"","force"
"1",-15181.95
"2",-16169
"3",-15594.57
"4",-16020.2
"5",-15228.14
"6",-15147.03
"7",-16045.27
"8",-15171.53
"9",-15517.87
"10",-15280.21
"11",-15057.63
"12",-15062.3
"13",-16446.49
"14",-16246.95
"15",-16312.93
"16",-14962.17
"17",-15424.13
"18",-15215.93
"19",-16000.11
"20",-15348.86
"21",-15542.6
"22",-15592.49
"23",-15137.16
"24",-16140.67
"25",-15100.45
"26",-15358.78
"27",-15768.51
"28",-15429.93
"29",-15128.52
"30",-14986.33
"31",-15705.47
"32",-15646.25
"33",-15358.23
"34",-15186.21
"35",-15901.65
"36",-15077.43
"37",-15171.31
"38",-15088.56
