"","force"
"1",9826.26
"2",10736.82
"3",9871.49
"4",10197.09
"5",10537.73
"6",10075.07
"7",10576.86
"8",10070.76
"9",9936.94
"10",10249.43
"11",10706
"12",10470.82
"13",10156.86
"14",9867.1
"15",9837.36
"16",10138.86
"17",10248.59
"18",10306.77
"19",10099.19
"20",10641.95
"21",10674.02
"22",10494.9
"23",10615.18
"24",10070.43
"25",9754.55
"26",10094.25
"27",10601.89
"28",10042.22
"29",10378.98
"30",10147.14
"31",10523.45
"32",10216.94
"33",10373.42
"34",10505.61
"35",9782.29
"36",10184.67
"37",10232.06
"38",9825.77
"39",10225.88
"40",9792.04
"41",10072.14
"42",10487.84
"43",10268.94
"44",10710.87
"45",9808.27
