"","force"
"1",109464.15
"2",102079
"3",104114.34
"4",107386.45
"5",101991.3
"6",105028.85
"7",101526.16
"8",102731.43
"9",100445.03
"10",107291.13
"11",99920.48
"12",103954.41
"13",108208.26
"14",106583.96
"15",101704.9
"16",101394.59
"17",101007.95
"18",109003.22
"19",108821.19
"20",100794.79
"21",103656.94
"22",108062.47
"23",103072.87
"24",108634.52
"25",103697.08
"26",109647.02
"27",107741.33
"28",109347.37
"29",107821.55
"30",108792.73
"31",108195.28
"32",102412.65
"33",105972.53
"34",104670.73
"35",101088.65
