"","force"
"1",-36366.57
"2",-35936.79
"3",-35185.16
"4",-36652.96
"5",-34730.31
"6",-34838.12
"7",-34288.27
"8",-34146.07
"9",-34402.68
"10",-34640.18
"11",-34059.26
"12",-33499.03
"13",-36347.02
"14",-36661.04
"15",-35864.82
"16",-34289.74
"17",-33537.73
"18",-33708.05
"19",-34948.27
"20",-34991.68
"21",-35508.6
"22",-34129.21
"23",-33861.25
"24",-36453.72
"25",-35192.44
"26",-35341.15
"27",-34716.69
"28",-35455.22
"29",-36720.79
"30",-34801.24
"31",-36171.67
"32",-35705.37
"33",-35777.59
"34",-35526.29
"35",-35898.15
"36",-35140.28
"37",-36296.85
"38",-36901.56
"39",-35578.19
"40",-34300.51
"41",-34829.73
"42",-34750.61
"43",-36820.51
"44",-33431.82
"45",-35014.03
"46",-34629.5
"47",-36164.71
"48",-35079.17
