"","force"
"1",128025.82
"2",131068.87
"3",140284.06
"4",127499.76
"5",136548.53
"6",137064.01
"7",129914.16
"8",127783.27
"9",135044.58
"10",131353.38
"11",127879.64
"12",138013.48
"13",133832.93
"14",137044.66
"15",136114.61
"16",133098.09
"17",136452.49
"18",134105.56
"19",132433.85
"20",135678.98
"21",128626.05
"22",138874.86
"23",131581.13
"24",135771.51
"25",132530.69
"26",140629.24
"27",133849.69
"28",139652.71
"29",135298.17
"30",128066.82
"31",134134.43
"32",137895.66
"33",133823.55
"34",134954.62
"35",134869.55
"36",139818.63
"37",138711.23
"38",128490.79
"39",129650.95
"40",128046.38
"41",128367.92
"42",140360.15
"43",137088.53
"44",135297.11
"45",134087.51
"46",132785.34
"47",136164.5
"48",139590.34
"49",131502.56
"50",133917.28
"51",133016.97
"52",140454.03
"53",139696.31
"54",139735.73
"55",132716.36
"56",137163.7
"57",135389.2
"58",138120.23
"59",134751.57
"60",134561.11
"61",136825.04
"62",140587.25
"63",135237.22
"64",138367.76
"65",131453.04
"66",137295.85
"67",139384.57
"68",133086.66
"69",132796.13
"70",133491.01
"71",128659.83
"72",132202.11
"73",131921.42
"74",130423.09
"75",137583.84
"76",128195.36
"77",131199.63
"78",138874.2
"79",131806.19
"80",133433.3
"81",138286.05
"82",130405.61
"83",131354.29
"84",139996.8
"85",136204.54
"86",135953.69
"87",127837.68
"88",138861.75
"89",134199.24
"90",137051.2
"91",128962.19
"92",130595.21
"93",137376.32
"94",131395.53
"95",137428.64
"96",133390.29
"97",139462.63
"98",129774.43
"99",139086.1
"100",139888.44
"101",129201.7
"102",131453.2
"103",138965
"104",132917.41
"105",136719.1
"106",136088.37
"107",131905.91
"108",129054.82
"109",129783.99
"110",138230.36
"111",127907.9
"112",137712.02
"113",129867.44
"114",132860.48
"115",128951.1
"116",134600.73
"117",127561.03
"118",129035.25
"119",140465.42
"120",138920.84
"121",131212.95
"122",134162.59
"123",131162.09
"124",127909.43
"125",131214.28
