"","force"
"1",24624.3
"2",25106.84
"3",26233.08
"4",26515.06
"5",26321.63
"6",26044.68
"7",24410.93
"8",24864.16
"9",24133.4
"10",24732.09
"11",26288.41
"12",24137.17
"13",25795.08
"14",26565.42
"15",24313.65
"16",26454.02
"17",25347.85
"18",25216.16
"19",25345.1
"20",24352.35
"21",24688.29
"22",25225.15
"23",25336.07
"24",25953.55
"25",26124.85
"26",26411.6
"27",26197.64
"28",25070.84
"29",24568.29
"30",24802.93
"31",25129.77
"32",24829.17
"33",24925.53
"34",26304.2
"35",25610.07
"36",24846.07
"37",25751.55
"38",25992.75
"39",24409.66
"40",25545.22
"41",24172.19
"42",25350.36
"43",24214.65
"44",26565.8
"45",26256.93
"46",26263.29
"47",24662.14
"48",25712.13
"49",25991.62
"50",26302.68
"51",25888.03
"52",26549.96
"53",24921.28
"54",25587.04
"55",25889.94
"56",25668.19
"57",25633.3
"58",25729.06
"59",24613.35
"60",26508.65
"61",24525.93
"62",25556.76
"63",25843.06
"64",26434.67
"65",24179.86
"66",24696.52
"67",24248.94
"68",26355.31
"69",24849.5
"70",24716.29
"71",26266.39
"72",24274.15
"73",26004.54
"74",25145.77
"75",25393.31
"76",25212.4
"77",24367.32
"78",24433.7
"79",24819.75
"80",25698.04
"81",26296.46
"82",24492.87
"83",24878.19
"84",24798.73
"85",26609.29
"86",26258.1
"87",24703.9
"88",24918.1
"89",24576.85
"90",25518.9
"91",25784.55
"92",24986.38
"93",25920.39
"94",24164.09
"95",26467.13
"96",24977.55
"97",24976.57
"98",26326.76
"99",24190.67
"100",24821.38
"101",24189.01
"102",24605.35
"103",24594.54
"104",26023.86
"105",25291.22
"106",26550.88
"107",26413.41
"108",26330.58
"109",24266.46
"110",24589.23
"111",24230.73
"112",25572.4
"113",26313.49
"114",24140.5
"115",24585.37
"116",24625.07
"117",24495.97
"118",24499.85
"119",25831.62
"120",25619.53
"121",26053.19
"122",24330.42
"123",25773.04
"124",24668.23
"125",25037.94
"126",25909.27
"127",26348.65
"128",24512.92
"129",24950.15
"130",25599.62
"131",25776.59
"132",24744.51
"133",25583.37
"134",25657.94
"135",24796.02
"136",26248.39
"137",24270.62
"138",24562.06
"139",26323.61
"140",24151.88
"141",24432.97
"142",24504.85
"143",24188.93
"144",24607.38
"145",26475.81
