"","force"
"1",18063.54
"2",18142.53
"3",18285.2
"4",16975.15
"5",17116.87
"6",18211.87
"7",18143.5
"8",17556.19
"9",18434.66
"10",17763.52
"11",17947.12
"12",17738.77
"13",16941.02
"14",18424.01
"15",17723.95
"16",18154.09
"17",18243.58
"18",17814.05
"19",17213.22
"20",18357.4
"21",17452.29
"22",17375.28
"23",17794.03
"24",18502.59
"25",17844.33
"26",18337.69
"27",17524.45
"28",17234.16
"29",18107.42
"30",17934.5
"31",18167.38
"32",17819.14
"33",17060.76
"34",16864.68
"35",17037.67
"36",17141.28
"37",18099.31
"38",18197.15
"39",18206.62
"40",17613.92
"41",17702.17
"42",16890.8
"43",17628.86
"44",18342.16
"45",17432.56
"46",18428.98
"47",17401.48
"48",17153.57
"49",17684.65
"50",17010.9
"51",18218.92
"52",18058.84
"53",18189.12
"54",18493.5
"55",18189.48
"56",17958.52
"57",17537.1
"58",18130.87
"59",17352.04
"60",17733
"61",17972.22
"62",16977.53
