"","force"
"1",31823.24
"2",31738.72
"3",31841.68
"4",32243.09
"5",31826.48
"6",32129.26
"7",32754.6
"8",32807.9
"9",31331.97
"10",31637.8
"11",33558.95
"12",33930
"13",32015.03
"14",33231.88
"15",34026.2
"16",34345.64
"17",33162.71
"18",33254.24
"19",34224.84
"20",31203.05
"21",33068.47
"22",34168.93
"23",34124.98
"24",31613.34
"25",31489.77
"26",34286.81
"27",31612.49
"28",32612.09
"29",34288.91
"30",31982.42
"31",33926.5
"32",31907.31
"33",33824.78
"34",32474.65
"35",33188.15
"36",33301.71
"37",32375.15
"38",32947.83
"39",32987.92
"40",33189.86
"41",31564.52
"42",33630.35
"43",32556.29
"44",32747.44
"45",31103.5
"46",34286.45
"47",33088.23
"48",31197.37
"49",32456.56
"50",34305.81
"51",31647.52
"52",31972.61
"53",31134.21
"54",31935.01
"55",31130
"56",33020.2
"57",33016.09
"58",31111.27
"59",33543.73
"60",33919.59
"61",32295.56
"62",31610.99
"63",32436.05
"64",33359.84
"65",31141.8
"66",33017.75
"67",33622.73
"68",31831.33
"69",32197.39
"70",34287
"71",31515.96
"72",32116.38
"73",33463.57
"74",31368.64
"75",31144.64
"76",33375.59
"77",32006.13
"78",31079.93
"79",33862.45
"80",32900.73
"81",33635.97
"82",34197.76
"83",33352.78
"84",33018.9
"85",31229.54
"86",34244.53
"87",32125.83
"88",34338.11
"89",34211.32
"90",33765.98
