"","force"
"1",162084.92
"2",157899.09
"3",154129.33
"4",156171.54
"5",158748.35
"6",159695.17
"7",159511.86
"8",157420.15
"9",155365
"10",158016.89
"11",159095.76
"12",162668.33
"13",156256.53
"14",160281.68
"15",155559.61
"16",169118.91
"17",166551.96
"18",161834.61
"19",156777.62
"20",162962.67
"21",165873.13
"22",164305.31
"23",166727.77
"24",163414.21
"25",157050.77
"26",157783.54
"27",160382.51
"28",164459.75
"29",164566.13
"30",169770.4
"31",162557.3
"32",162934.92
"33",165059.33
"34",167626.88
"35",154463.69
"36",158715.92
"37",165348.85
"38",159801.81
"39",159980
"40",167308.78
"41",157243.72
"42",153905.58
"43",160934.92
"44",164133.27
"45",155354.35
"46",161164.75
"47",167377.79
"48",166127.81
"49",168640.08
"50",168150.07
"51",158210.12
"52",165567.12
"53",161220.29
"54",159940.26
"55",163424.2
"56",168061.89
"57",161741.73
"58",161385.49
"59",159732.7
"60",167516.41
"61",164336.83
"62",167098.11
"63",157676.11
"64",154334.4
"65",157476.78
"66",165706.22
"67",159062.21
"68",158432.79
"69",168619.44
"70",162452.3
"71",155186.4
"72",165429.07
"73",167836.53
"74",166411.66
"75",164050.77
"76",164774.34
"77",157611.33
"78",166971.67
"79",159402.45
"80",156967.98
"81",156188.56
"82",162264.63
"83",158118.04
"84",156626.94
