"","force"
"1",37567.51
"2",35824.08
"3",38096.04
"4",36708.54
"5",36067.03
"6",39224.56
"7",39033.33
"8",35740.42
"9",38667.1
"10",36764.42
"11",37363.7
"12",38296.19
"13",36112.1
"14",36492.53
"15",39316.74
"16",37166.88
"17",38435.94
"18",39467.91
"19",37661.2
"20",36479.7
"21",37708.65
"22",35993.26
"23",36799.88
"24",36695.18
"25",38576.68
"26",36202.96
"27",38643.98
"28",38404.56
"29",37540.33
"30",38625.7
"31",38564.8
"32",37070.19
"33",35733.26
"34",37747.84
"35",38293.81
"36",36813.23
"37",36880.59
"38",38333.74
"39",39401.46
"40",37504.82
"41",36904.71
"42",37056.28
